अध्यायः,वक्ता,विषयः,श्लोकः,Page,Ketu,Matter,#,Match?,External,
मंगळाचरणं,बल्लाळसेनः,,आवृत्तानागतातीतसूक्ष्मसाक्षात्प्रदर्शनम्। परं ज्योतिरिवानन्तं ज्यौतिषं तदुपास्महे॥,1,,,,,,
उपोद्घातः,बल्लाळसेनः,,नृपकोटिकिरीटरोचिरं शुस्नपनप्रंशुनखांशुमञ्जरीकैः । चरणैर्धरणीं प्रसाधयन्तो वियदोजोऽधिकमासतेन्दुवंश्याः॥,1,,,,,,
उपोद्घातः,बल्लाळसेनः,,भुजातेजस्तेषामियमसहमानेव वसुधा द्विधा भावं-भावं नवशकलभावं गतवती । यशोलेपानां तद्विलसितमहो नेयमभवद्विदीर्णब्रह्माण्डस्थविरवपिठरीकर्परपुटेः॥,1,,,,,,
उपोद्घातः,बल्लाळसेनः,,भुवः काञ्चीलीला चतुरचतुरम्भोधिलहरी परीतायाभर्ताऽजनिविजयसेनः शशिकुले। यदियैरद्यापि प्रचितभुजतेजः सहरैर्यशोभिः शोभन्ते परिधिपरिणीता इव दिशः॥,1,,,,,,
उपोद्घातः,बल्लाळसेनः,,वेदायनैकपथिकः ककुभां भुजङ्गः सङ्ग्रामरङ्ग इव जङ्गमतामुपेतः । चेतो महौषधिनवेशवशा हितश्रीर्वल्लालसेन इति भूमिपतिस्ततोऽभूत्॥,1,,,,,,
उपोद्घातः,बल्लाळसेनः,,किं लक्ष्म्या तुलयामि कातरशतं पान्त्या नृणां तं सुरं लक्षाप्याजिविचिम्बितां स सकलां धत्ते सुदोस्सम्पदम् । यस्याङ्घ्रिः पतिभैक्षकाकुविलुठद्विदेषिनारीशिरः सिन्धूरोत्करमुद्रितो जनलिपिर्निर्मुक्तियन्त्रं द्विषाम्॥,2,,,,,,
उपोद्घातः,बल्लाळसेनः,,मन्दारोदयसेवितोपि न गिरिभ्रान्त्याऽतिभूतः क्वचित् व्यक्तग्राहविचेष्टितोऽपि विततो नक्षत्रवीथीबलैः। आपत्राणपरायणक्षितिभृतां तुङ्गैरनङ्गीकृतः सर्वत्राद्भुतसागरोऽवनिभृता तेनायमारभ्यते ॥,2,,,,,,
उपोद्घातः,बल्लाळसेनः,,मीमांसालयमांसलस्मृतिपरामर्शप्रकर्शस्फुरद्वेदाङ्गागमतत्वनिस्तुशमतिर्निः शङ्कपृथ्वीपतिम्। युक्तायुक्तनिरूपणप्रणैनं प्रीत्या महीनाथनं वंशोत्तं समहार्घरत्ननिलयश्रीः श्रीनिवासं व्यधात्॥,2,,,,,,
उपोद्घातः,बल्लाळसेनः,,ज्योतिर्विदार्यवचनानि विचर्य तेषां तात्पर्यपर्यवसितो ग्रथनानुपूर्व्या। विप्रप्रसादनवशादवसादबुद्धिर्निः शङ्कशङ्करनृपः कुरुते प्रयत्नम्॥,2,,,,,,
उपोद्घातः,बल्लाळसेनः,,ग्रन्थेत्र वृद्धगर्गगर्गपराशरवशिष्ठगार्गीयान्। बार्हस्पत्यबृहस्पतिकठश्रुतिब्रह्मसिद्धान्तान्॥,3,,11,,,,
उपोद्घातः,बल्लाळसेनः,,आथर्वणा-द्भुताशित-षट्त्रिंशद्ब्रह्मर्षिकृतीः। गार्गीयमतौशनसे कालावलिसूर्यसिद्धान्तौ॥,4,,,,,,
उपोद्घातः,बल्लाळसेनः,,विन्ध्यवासिवदरायणोशनः शालिहोत्रविधु[ष्णु]गुप्तसुश्रुतान्। पीलुकार्यनृपपुत्रदेवलान् भार्गवीयबिजवायकाश्यपान् ॥,4,,,,,,
उपोद्घातः,बल्लाळसेनः,,नारदमयूरचित्रे चरकं यवनेश्वरस्य मतम्। निखिलं वराहमिहिराचार्यग्रन्थं वसन्तराजकृतिम्॥,4,,,,,,
उपोद्घातः,बल्लाळसेनः,,मार्कण्डेयपुराणं स्कान्दं भागवतमाद्यमाग्नेयम्। पाद्मं मत्स्यपुराणं रामायणभारकाख्याने॥,4,,,,,,
उपोद्घातः,बल्लाळसेनः,,हरिवंशविष्णुधर्मोत्तरे निबन्धं चरिष्यमाणं च। वचनं तेषां सारान् बहशोऽथान्वीक्ष्य  सोऽद्राक्षीत्॥,4,,,,,,
उपोद्घातः,बल्लाळसेनः,प्रमाणसङ्केतः,विषमपदत्वाच्छतशो विरुद्धवचानर्थभेदपरिशुद्धिः पुनरुक्तिलिखनतोऽस्मिन् बहुशो बहुसम्मतिग्राह्या ॥,4,,,,,,
उपोद्घातः,बल्लाळसेनः,विषयनिभागकथनम्,अद्भुतलक्षणमद्भुतविषयविवेकोत्पत्तिहेतुम्। अभिदायादावद्भुतफलपाकस्थाननिर्देशम्॥,4,,,,,,
विषयविभागः,बल्लाळसेनः,,दिव्याश्रयेत्र रविशशिराहुमहीनन्दनेन्दुतनयानाम्। सुरगुरुभार्गवभानुजकेतुध्रुवकुम्भसम्भवाद्यानाम्॥,5,,,,,,
विषयविभागः,बल्लाळसेनः,,ग्रहयुद्धाकृतियोगाद्यादित्याद्यब्दवत्सरर्क्षाणाम्। अद्भुतशान्तीर्वक्ष्यत्यावर्तैः पञ्चदशभिः सः॥,5,,,,,,
विषयविभागः,बल्लाळसेनः,,प्रतिरविपरिधिसुरधनुर्भादण्डाकाशनगराणाम्। निर्घातसन्ध्ययोर्दिग्दाहच्छायान्धकारधूमानाम् ॥,5,,,,,,
विषयविभागः,बल्लाळसेनः,,रेणोर्नीहारोल्काविद्युन्मरुदभ्रजलदगर्भाणाम्। वृष्ट्यतिवृष्टिकबन्धप्रभृतीनामद्भुतानि सह शान्त्या॥,5,,,,,,
विषयविभागः,बल्लाळसेनः,,नाभसमाश्रयमध्यममभिघाताऽष्टादशावर्तैः। पतिभैक्ष्यकाकुविलुठद्वैरिवधूवाष्पध्यौताङ्घ्रिः॥,5,,,,,,
